state,country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
South Carolina,United States,2020-09-20 04:22:56,33.93873745790061,-80.8635125173916,137240,3188,0,134052.0,"South Carolina, US",2665.5199725601383,2.32293791897406
South Dakota,United States,2020-09-20 04:22:56,43.98319049779874,-98.44216845524235,18444,200,0,18244.0,"South Dakota, US",2084.8711198326137,1.0843634786380394
Tennessee,United States,2020-09-20 04:22:56,35.79286338866078,-86.74006222971117,175825,2187,0,173638.0,"Tennessee, US",2574.615905232463,1.2438504194511588
Texas,United States,2020-09-20 04:22:56,30.555028191562414,-97.4136864217528,707940,15051,0,692889.0,"Texas, US",2441.6113986838877,2.1260276294601237
Utah,United States,2020-09-20 04:22:56,40.40339088318367,-111.85381001295742,62852,440,0,62412.0,"Utah, US",1960.474840905589,0.7000572774136066
Vermont,United States,2020-09-20 04:22:56,44.161828274430086,-72.94329109673913,1702,58,0,1644.0,"Vermont, US",272.7612185471218,3.4077555816686247
Virgin Islands,United States,2020-09-20 04:22:56,18.3358,-64.8963,1257,19,0,1238.0,"Virgin Islands, US",1171.831301040385,1.511535401750199
Virginia,United States,2020-09-20 04:22:56,37.89176999616091,-77.64156829532233,139546,2988,0,136558.0,"Virginia, US",1634.8859395661823,2.1412294153899074
Washington,United States,2020-09-20 04:22:56,47.190981359251104,-120.85319357832908,81907,2032,0,79875.0,"Washington, US",1075.6159016285587,2.4808624415495624
West Virginia,United States,2020-09-20 04:22:56,38.761144570830155,-80.73265076786375,13889,311,0,13578.0,"West Virginia, US",774.9922299900622,2.2391820865433076
Wisconsin,United States,2020-09-20 04:22:56,43.52100069374674,-88.71619479484492,97279,1238,0,96041.0,"Wisconsin, US",1670.7617467196708,1.272628213694631
Wyoming,United States,2020-09-20 04:22:56,42.74914436691632,-107.65154976384937,4780,49,0,4731.0,"Wyoming, US",825.905083117498,1.0251046025104602
